initial,Golden,skip_1_1,skip_1_2,skip_1_3,skip_1_4,skip_1_5,skip_1_6,skip_1_7,skip_1_8,skip_2_1,skip_2_2,skip_2_3,skip_2_4,skip_2_5,skip_2_6,skip_2_7,skip_3_1,skip_3_2,skip_3_3,skip_3_4,skip_3_5,skip_3_6,skip_4_1,skip_4_2,skip_4_3,skip_4_4,skip_4_5,skip_5_1,skip_5_2,skip_5_3,skip_5_4,skip_6_1,skip_6_2,skip_6_3,skip_7_1,skip_7_2,Skip_2_Repeat_1,Skip_3_Repeat_1,Skip_3_Repeat_2,Skip_4_Repeat_1,Skip_4_Repeat_2,Skip_4_Repeat_3,Skip_5_Repeat_1,Skip_5_Repeat_2,Skip_5_Repeat_3,Skip_5_Repeat_4,Skip_6_Repeat_1,Skip_6_Repeat_2,Skip_6_Repeat_3,Skip_6_Repeat_4,Skip_6_Repeat_5,Skip_7_Repeat_1,Skip_7_Repeat_2,Skip_7_Repeat_3,Skip_7_Repeat_4,Skip_7_Repeat_5,Skip_7_Repeat_6,Skip_8_Repeat_1,Skip_8_Repeat_2,Skip_8_Repeat_3,Skip_8_Repeat_4,Skip_8_Repeat_5,Skip_8_Repeat_6,Skip_8_Repeat_7
5,105,5,105,105,105,105,105,105,105,5,105,105,105,105,105,105,5,105,105,105,105,105,5,105,105,105,105,5,105,105,105,5,105,105,5,105,205,310,105,310,105,105,310,105,105,105,310,105,105,105,105,310,105,105,105,105,105,310,105,105,105,105,105,105
100,205,105,100,205,205,205,205,205,205,100,100,205,205,205,205,205,100,100,205,205,205,205,100,100,205,205,205,100,100,205,205,100,100,205,100,100,100,205,310,205,310,205,205,310,205,205,205,310,205,205,205,205,310,205,205,205,205,205,310,205,205,205,205,205
40,145,45,145,40,145,145,145,145,145,45,40,40,145,145,145,145,40,40,40,145,145,145,40,40,40,145,145,40,40,40,145,40,40,40,40,40,245,40,40,145,145,250,145,145,250,145,145,145,250,145,145,145,145,250,145,145,145,145,145,250,145,145,145,145
0,110,10,110,110,0,110,110,110,110,10,110,0,0,110,110,110,10,0,0,0,110,110,0,0,0,0,110,0,0,0,0,0,0,0,0,0,210,315,110,0,0,0,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110
0,250,50,250,145,250,0,250,250,250,50,145,145,0,0,250,250,45,145,0,0,0,250,45,0,0,0,0,0,0,0,0,0,0,0,0,0,450,350,145,455,250,355,0,0,0,0,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250
0,110,10,110,110,110,110,0,110,110,10,110,110,110,0,0,110,10,110,110,0,0,0,10,110,0,0,0,10,0,0,0,0,0,0,0,0,210,315,110,315,110,110,315,110,110,110,0,0,0,0,0,110,110,110,110,110,110,110,110,110,110,110,110,110
0,250,50,250,145,250,250,250,0,250,50,145,145,250,250,0,0,45,145,145,250,0,0,45,145,145,0,0,45,145,0,0,45,0,0,0,0,450,350,145,455,250,355,455,250,355,250,455,250,355,250,250,0,0,0,0,0,0,250,250,250,250,250,250,250
0,110,10,110,110,110,110,110,110,0,10,110,110,110,110,110,0,10,110,110,110,110,0,10,110,110,110,0,10,110,110,0,10,110,0,10,0,210,315,110,315,110,110,315,110,110,110,315,110,110,110,110,315,110,110,110,110,110,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
